id_num,name,year,author,tasks,topics,keywords,types,annotations,size,num_cat,description,url,thumbnail,paper,citations,conferences,institutions,
0,20bn-Something-Something,2017,"Raghav Goyal, Samira Ebrahimi Kahou, Vincent Michalski,Joanna Materzy?ska, Susanne Westphal, Heuna Kim,Valentin Haenel, Ingo Fruend, Peter Yianilos, Moritz Mueller-Freitag, Florian Hoppe, Christian Thurau, Ingo Bax,Roland Memisevic",classification,action,,video,category labels,108499,174,The 20BN-SOMETHING-SOMETHING dataset is a large collection of densely-labeled video clips that show humans performing pre-defined basic actions with everyday objects.,https://www.twentybn.com/datasets/something-something,https://20bn-frontend-production.s3.amazonaws.com/uploads/video/file/54650/large_b8362a7b34250b48c9c9.mp4,"The ""something something"" video database for learning and evaluating visual common sense","Goyal, R., Kahou, S. E., Michalski, V., Materzynska, J., Westphal, S., Kim, H., ... & Hoppe, F. (2017, June). The” something something” video database for learning and evaluating visual common sense. In Proc. ICCV.",ICCV,Twenty Billion Neurons,
1,Online RGBD Action Dataset (ORGBD),2014,"Gang Yu, Zicheng Liu, Junsong Yuan",classification;recognition,action,orderlet,RGB-D video;images;depth images;skeleton images,temporal category labels;bounding boxes,,7,"The dataset targets for human aciton (human-object interaction) recognition based on RGBD video data. There are seven categories of human actions: Drinking, eating, using laptop, reading cellphone, making phone call, reading book, using remote.",https://sites.google.com/site/skicyyu/rgbd_recognition,https://sites.google.com/site/skicyyu/_/rsrc/1412222840358/orgbd/illustration.png,Discriminative Orderlet Mining For Real-time Recognition of Human-Object Interaction,"Yu, G., Liu, Z., & Yuan, J. (2014, November). Discriminative orderlet mining for real-time recognition of human-object interaction. In Asian Conference on Computer Vision (pp. 50-65). Springer, Cham.",ACCV,Nanyang Technological University;Microsoft Research,
2,50 Salads,2013,S. Stein and S. J. McKenna,classification,action,food,video;depth images;sensor recordings,3D bounding boxes,,,"50 Salads dataset captures 25 people preparing 2 mixed salads each and contains over 4h of annotated accelerometer and RGB-D video data. Including detailed annotations, multiple sensor types, and two sequences per participant, the 50 Salads dataset may be used for research in areas such as activity recognition, activity spotting, sequence analysis, progress tracking, sensor fusion, transfer learning, and user-adaptation.",http://cvip.computing.dundee.ac.uk/datasets/foodpreparation/50salads/,http://cvip.computing.dundee.ac.uk/datasets/foodpreparation/50salads/rgb-sample.avi,User-adaptive models for recognizing food preparation activities,"Heilbron, F. C., & Niebles, J. C. (2014, April). Collecting and annotating human activities in web videos. In Proceedings of International Conference on Multimedia Retrieval (p. 377). ACM.",,University of Dundee,
3,ActivityNet-100,2015,,classification;recognition,action,,video,temporal category labels,19994,100,A Large-Scale Video Benchmark for Human Activity Understanding (old version),http://activity-net.org/index.html,http://img.youtube.com/vi/Ou24uqaFRPg/1.jpg,,"Heilbron, F. C., & Niebles, J. C. (2014, April). Collecting and annotating human activities in web videos. In Proceedings of International Conference on Multimedia Retrieval (p. 377). ACM.",CVPR,"VCC Kaust;Universidad del Norte

",
4,ActivityNet-200,2016,,classification;recognition,action,,video,temporal category labels,9682,200,"A Large-Scale Video Benchmark for Human Activity Understanding (200 classes, 100 videos per class, 648 video hours)",http://activity-net.org/index.html,http://img.youtube.com/vi/-YjGbsbDoxs/1.jpg,,,CVPR,"VCC Kaust;Universidad del Norte

",
5,MERL Shopping Dataset,2016," Michael Jones, Tim Marks",detection,action,,video,temporal category labels,106,5," MERL Shopping Dataset consists of 106 videos, each of which is a sequence about 2 minutes long. The videos are from a fixed overhead camera looking down at people shopping in a grocery store setting. Each video contains several instances of the following 5 actions: ""Reach To Shelf"" (reach hand into shelf), ""Retract From Shelf "" (retract hand from shelf), ""Hand In Shelf"" (extended period with hand in the shelf), ""Inspect Product"" (inspect product while holding it in hand), and ""Inspect Shelf"" (look at shelf while not touching or reaching for the shelf).",http://www.merl.com/demos/merl-shopping-dataset,http://www.merl.com/public/img/photography/merlshoppingdataset-banner.jpg,A Multi-Stream Bi-Directional Recurrent Neural Network for Fine-Grained Action Detection,"Singh, B., Marks, T.K., Jones, M.J, , Tuzel, C.O., ""A Multi-Stream Bi-Directional Recurrent Neural Network for Fine-Grained Action Detection"", IEEE Conference on Computer Vision and Pattern Recognition (CVPR), DOI: 10.1109/CVPR.2016.216, June 2016, pp. 1961-1970.",CVPR,University of Maryland;MERL;Northeastern University,
6,Actor and Action Dataset ,2015,Chenliang Xu and Jason J. Corso ,detection,action,,video,temporal category labels,3782,8,"We have collected a new dataset consisting of 3782 videos from YouTube; these videos are hence unconstrained in-the-wild videos with varying characteristics. We select seven classes of actors performing eight different actions. Our choice of actors covers articulated ones, such as adult, baby, bird, cat and dog, as well as rigid ones, such as ball and car. The eight actions are climbing, crawling, eating, flying, jumping, rolling, running, and walking. A single action class can be performed by various actors, but none of the actors can perform all eight actions.",http://web.eecs.umich.edu/~jjcorso/r/a2d/,http://web.eecs.umich.edu/~jjcorso/r/a2d/files/dataset_montage.jpg,Can humans fly? Action understanding with multiple classes of actors,"C. Xu, S.-H. Hsieh, C. Xiong, and J. J. Corso. Can humans fly? Action understanding with multiple classes of actors. In Proceedings of IEEE Conference on Computer Vision and Pattern Recognition, 2015;C. Xu and J. J. Corso. Actor-action semantic segmentation with grouping-process models. In Proceedings of IEEE Conference on Computer Vision and Pattern Recognition, 2016;Y. Yan, C. Xu, D. Cai, and J. J. Corso. Weakly supervised actor-action segmentation via robust multi-task ranking. In Proceedings of IEEE Conference on Computer Vision and Pattern Recognition, 2017",CVPR,University of Michigan,
7,Action Similarity Labeling (ASLAN) Challenge,2012,"Orit Kliper-Gross, Tal Hassner, and Lior Wolf",recognition,action,similarity,video,temporal category labels,3697,432,"The ASLAN set contains 3697 action samples from 1571 unique YouTube videos divided into 432 non-trivial action categories. An ""action sample"" is defined as a sub-sequence of a shot presenting a detected action, that is, a consecutive set of frames taken by the same camera presenting one action. The action samples have been manually labeled with the name of the action carried out in each of them. 316 of the categories contain more than one sample.",https://www.openu.ac.il/home/hassner/data/ASLAN/ASLAN.html,,The Action Similarity Labeling Challenge,"Kliper-Gross, O., Hassner, T., & Wolf, L. (2012). The action similarity labeling challenge. IEEE Transactions on Pattern Analysis and Machine Intelligence, 34(3), 615-621.",CVPR,"Weizmann Institute of Science;Open University of Israel;Tel Aviv
University",
8,Attribute Learning for Understanding Unstructured Social Activity,2012,"Yanwei Fu, Timothy M. Hospedales, Tao Xiang, and Shaogang Gong",classification,action,social events,video,gaze fixation annotations,9396,69,"he USAA dataset includes 8 different semantic class videos which are home videos of social occassions such e birthday party, graduation party,music performance, non-music performance, parade, wedding ceremony, wedding dance and wedding reception which feature activities of group of people. It contains around 100 videos for training and testing respectively. Each video is labeled by 69 attributes. The 69 attributes can be broken down into five broad classes: actions, objects, scenes, sounds, and camera movement.  It can be used for evaluating approaches for video classification,  N-shot and zero-shot learning, multi-task learning, attribute/concept-annotation, attribute/concepts-modality prediction, suprising attributes/concepts discovery, and latent-attribute(concepts) discovery etc.",http://yanweifu.github.io/USAA/download/,http://yanweifu.github.io/USAA/download/images/teaser_img.jpg,Attribute Learning for Understanding Unstructured Social Activity,";Fu, Y., Hospedales, T. M., Xiang, T., & Gong, S. (2012, October). Attribute learning for understanding unstructured social activity. In European Conference on Computer Vision (pp. 530-543). Springer, Berlin, Heidelberg.",ECCV,Queen Mary University of London,
9,BEHAVE Interacting Person Video Data with markup,2009,"S. J. Blunsden, R. B. Fisher",classification,action,,video;video frames,temporal category labels;bounding boxes,90000,6,"The BEHAVE project’s dataset has around 90,000 frames of humans identified by bounding boxes, with interacting groups classified into one of 6 different behaviors.",http://groups.inf.ed.ac.uk/vision/BEHAVEDATA/INTERACTIONS/index.html,http://groups.inf.ed.ac.uk/vision/BEHAVEDATA/INTERACTIONS/BEHAVE_fight.jpg,The BEHAVE video dataset: ground truthed video for multi-person behavior classification,"Blunsden, S., & Fisher, R. B. (2010). The BEHAVE video dataset: ground truthed video for multi-person behavior classification. Annals of the BMVA, 4(1-12), 4.",,University of Edinburgh,
